"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","552.7","552.7","608.0",495.4,"571.9","571.9",510.7
"Procurement","3354.4","3354.4","3689.8",3153.3,"4137.5","4137.5",4034.7
"Flyaway","--","--","--",3094.2,"--","--",3959.1
"Recurring","--","--","--",3094.2,"--","--",3959.1
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",59.1,"--","--",75.6
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",59.1,"--","--",75.6
"MILCON","18.5","18.5","20.4",13.5,"21.7","21.7",16
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","3925.6","3925.6","N/A",3662.2,"4731.1","4731.1",4561.4
