"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1611.8","1504.2","1654.6",1565,"1664.7","1557.8",1628.9
"Procurement","8856.9","10088.1","11096.9",11093.6,"10231.9","12041.7",12968.2
"Flyaway","--","--","--",10356.8,"--","--",12087.6
"Recurring","--","--","--",10318.9,"--","--",12043.5
"Non Recurring","--","--","--",37.9,"--","--",44.1
"Support","--","--","--",736.8,"--","--",880.6
"Other Support","--","--","--",582.3,"--","--",696.2
"Initial Spares","--","--","--",154.5,"--","--",184.4
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","10468.7","11592.3","N/A",12658.6,"11896.6","13599.5",14597.1
