"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","8313.2","8994.0","9893.4",8844.4,"8483.0","9325.5",9175.8
"Procurement","23234.7","10195.3","11214.8",10287.3,"27813.3","12497.8",13225.2
"Flyaway","--","--","--",10287.3,"--","--",13225.2
"Recurring","--","--","--",9273.9,"--","--",12065.2
"Non Recurring","--","--","--",1013.4,"--","--",1160
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","31547.9","19189.3","N/A",19131.7,"36296.3","21823.3",22401
