"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1958.8","1958.8","2154.7",1972.9,"2118.6","2118.6",2105.9
"Procurement","6108.4","6108.4","6719.2",6181.9,"7708.7","7708.7",7708.7
"Flyaway","--","--","--",4516.4,"--","--",5643.9
"Recurring","--","--","--",4488.8,"--","--",5611.7
"Non Recurring","--","--","--",27.6,"--","--",32.2
"Support","--","--","--",1665.5,"--","--",2064.8
"Other Support","--","--","--",1266.8,"--","--",1568.3
"Initial Spares","--","--","--",398.7,"--","--",496.5
"MILCON","23.7","23.7","26.1",23.8,"28.9","28.9",28.9
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","8090.9","8090.9","N/A",8178.6,"9856.2","9856.2",9843.5
