"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","778.8","1365.1","1501.6",1248.3,"809.9","1488.8",1346.8
"Procurement","9824.0","10175.3","11192.8",9221.7,"10866.0","11765.5",10591.4
"Flyaway","--","--","--",6831.6,"--","--",7863.5
"Recurring","--","--","--",6831.6,"--","--",7863.5
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",2390.1,"--","--",2727.9
"Other Support","--","--","--",976.5,"--","--",1129.8
"Initial Spares","--","--","--",1413.6,"--","--",1598.1
"MILCON","148.5","53.3","58.6",72.31,"158.9","55.6",77.3
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","10751.3","11593.7","N/A",10542.3,"11834.8","13309.9",12015.5
