"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1273.8","3083.1","--",2987.2,"1431.1","2924.7",2909.1
"Procurement","1368.6","1459.0","--",1399.7,"1736.3","1688.9",1723.5
"Flyaway","--","--","--",930.6,"--","--",1139.2
"Recurring","--","--","--",930.6,"--","--",1139.2
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",469.1,"--","--",584.3
"Other Support","--","--","--",143.2,"--","--",177.1
"Initial Spares","--","--","--",325.9,"--","--",407.2
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","2642.4","4542.1","N/A",4386.9,"3167.4","4613.6",4632.6
