"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2595.5","1820.8","2002.9",1815,"2656.5","1856.8",1846.2
"Procurement","13212.4","0.0","0.0",0,"16156.7","0.0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","15807.9","1820.8","N/A",1815,"18813.2","1856.8",1846.2
