"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","3433.3","3433.3","3776.6",3564.5,"3481.7","3481.7",3662.6
"Procurement","28369.2","28369.2","31206.1",20130.2,"33720.5","33720.5",24970.6
"Flyaway","--","--","--",20130.2,"--","--",24970.6
"Recurring","--","--","--",20130.2,"--","--",24970.6
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","208.5","208.5","229.4",224.1,"236.6","236.6",267.5
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","32011.0","32011.0","N/A",23918.8,"37438.8","37438.8",28900.7
