"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","134","134","147.4",135.1,"115.8","115.8",115.8
"Procurement","1239.2","1239.2","1363.1",1270,"1305.3","1305.3",1343.1
"Flyaway","--","--","--",917.2,"--","--",977.3
"Recurring","--","--","--",917.2,"--","--",977.3
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",352.8,"--","--",365.8
"Other Support","--","--","--",290.8,"--","--",302.2
"Initial Spares","--","--","--",62,"--","--",63.6
"MILCON","0","0","--",0,"0","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","1373.2","1373.2","N/A",1405.1,"1421.1","1421.1",1458.9
