"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","5420.4","5420.4","5962.4",5602.1,"6351.2","6351.2",6610.1
"Procurement","58933.2","58933.2","64826.5",60925.2,"86856.1","86856.1",97651.4
"Flyaway","--","--","--",60416.9,"--","--",96863.9
"Recurring","--","--","--",58748.7,"--","--",94931.6
"Non Recurring","--","--","--",1668.2,"--","--",1932.3
"Support","--","--","--",508.3,"--","--",787.5
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",508.3,"--","--",787.5
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","64353.6","64353.6","N/A",66527.3,"93207.3","93207.3",104261.5
