"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","264.7","260.8","286.9",289.21,"266.5","262.3",296.5
"Procurement","4421.3","9128.5","9800.0",9296.1,"4730.4","11089.6",11364.8
"Flyaway","--","--","--",5992.9,"--","--",7205.5
"Recurring","--","--","--",5593.8,"--","--",6753.8
"Non Recurring","--","--","--",399.1,"--","--",451.7
"Support","--","--","--",3303.2,"--","--",4159.3
"Other Support","--","--","--",2853,"--","--",3604.9
"Initial Spares","--","--","--",450.2,"--","--",554.4
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4686.0","9389.3","N/A",9585.3,"4996.9","11351.9",11661.3
