"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","940.8","940.8","1034.9",932.8,"871.1","871.1",869.8
"Procurement","5087.2","5087.2","5595.9",5334.9,"5840.7","5840.7",6020
"Flyaway","--","--","--",4883.5,"--","--",5507.4
"Recurring","--","--","--",4802.1,"--","--",5426.2
"Non Recurring","--","--","--",81.4,"--","--",81.2
"Support","--","--","--",451.4,"--","--",512.6
"Other Support","--","--","--",451.4,"--","--",512.6
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","9.0","9.0","9.9",9.2,"10.5","10.5",10.5
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","6037.0","6037.0","N/A",6276.9,"6722.3","6722.3",6900.3
