"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","8434.9","8783.9","9662.3",8806.3,"9453.2","10126.0",10184.7
"Procurement","17588.5","18406.7","20247.4",18261.7,"25396.9","30643.5",30547.3
"Flyaway","--","--","--",14077.6,"--","--",23668.7
"Recurring","--","--","--",14077.6,"--","--",23668.7
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",4184.1,"--","--",6878.6
"Other Support","--","--","--",4160.5,"--","--",6843.2
"Initial Spares","--","--","--",23.6,"--","--",35.4
"MILCON","532.9","757.6","833.4",636.3,"668.4","1220.3",991.4
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","26556.3","27948.2","N/A",27704.3,"35518.5","41989.8",41723.4
