"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","3245.2","3684.0","4052.4",3604.9,"3636.2","4138.2",4057.9
"Procurement","2460.3","2354.2","2589.6",2165.4,"3104.1","2896.3",2719.9
"Flyaway","--","--","--",2165.4,"--","--",2719.9
"Recurring","--","--","--",2165.4,"--","--",2719.9
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","30.7","30.8","33.9",30.8,"34.5","34.6",34.6
"Acq O&M","32.7","25.2","27.7",25.2,"35.8","26.8",26.8
"Total","5768.9","6094.2","N/A",5826.3,"6810.6","7095.9",6839.2
