"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","861.6","834.5","918.0",834.7,"963.2","933.4",933.4
"Procurement","4419.5","6854.1","7539.5",6401.7,"5634.0","9623.8",8876.8
"Flyaway","--","--","--",5609.8,"--","--",7794.1
"Recurring","--","--","--",5585.7,"--","--",7766
"Non Recurring","--","--","--",24.1,"--","--",28.1
"Support","--","--","--",791.9,"--","--",1082.7
"Other Support","--","--","--",549.1,"--","--",743.7
"Initial Spares","--","--","--",242.8,"--","--",339
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","5281.1","7688.6","N/A",7236.4,"6597.2","10557.2",9810.2
