"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2606.1","2606.1","2866.7",2421.6,"2805.7","2805.7",2571.8
"Procurement","2043.6","2043.6","2248.0",2205,"2379.0","2379.0",2516.4
"Flyaway","--","--","--",1501.3,"--","--",1712.3
"Recurring","--","--","--",1501.3,"--","--",1712.3
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",703.7,"--","--",804.1
"Other Support","--","--","--",269.8,"--","--",309.2
"Initial Spares","--","--","--",433.9,"--","--",494.9
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4649.7","4649.7","N/A",4626.6,"5184.7","5184.7",5088.2
