"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","59677.3","59398.1","--",59491.2,"55233.8","55182.9","55133.0"
"Procurement","266665.8","266665.8","--",249667.8,"335680.7","335680.7","319115.7"
"Flyaway","--","--","--",222668.7,"--","--","286951.9"
"Recurring","--","--","--",197002,"--","--","255294.7"
"Non Recurring","--","--","--",25666.7,"--","--","31657.2"
"Support","--","--","--",26999.1,"--","--","32163.8"
"Other Support","--","--","--",16223.6,"--","--","19225.3"
"Initial Spares","--","--","--",10775.5,"--","--","12938.5"
"MILCON","4168.0","4168.0","--",4101.4,"4797.3","4797.3","4793.3"
"Acq O&M","0.0","0.0","--",0,"0.0","0.0","0.0"
"Total","330511.1","330231.9","N/A",313260.4,"395711.8","395660.9","379042.0"
