"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","4140.0","5674.4","6241.8",5724.9,"4014.3","5803.1",5852.9
"Procurement","13281.9","12932.0","14225.2",13741.7,"14968.5","15045.0",15963.2
"Flyaway","--","--","--",11439.9,"--","--",13277.1
"Recurring","--","--","--",10686.3,"--","--",12381.9
"Non Recurring","--","--","--",753.6,"--","--",895.2
"Support","--","--","--",2301.8,"--","--",2686.1
"Other Support","--","--","--",2004,"--","--",2357.8
"Initial Spares","--","--","--",297.8,"--","--",328.3
"MILCON","46.7","67.2","73.9",67.5,"48.6","73.6",73.6
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","17468.6","18673.6","N/A",19534.1,"19031.4","20921.7",21889.7
