"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","664.4","696.2","--",694.3,"615.2","645.1",646.2
"Procurement","1407.2","1579.4","--",1964.7,"1666.1","1885.5",2560.5
"Flyaway","--","--","--",1582.1,"--","--",2126.2
"Recurring","--","--","--",1571.9,"--","--",2115.6
"Non Recurring","--","--","--",10.2,"--","--",10.6
"Support","--","--","--",382.6,"--","--",434.3
"Other Support","--","--","--",254,"--","--",307.3
"Initial Spares","--","--","--",128.6,"--","--",127
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","2071.6","2275.6","N/A",2659,"2281.3","2530.6",3206.7
