"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","78.7","111.3","122.4",116.1,"77.8","114.0",120.1
"Procurement","8939.4","15281.2","16809.3",15146.1,"10684.0","20817.5",20591.4
"Flyaway","--","--","--",15146.1,"--","--",20591.4
"Recurring","--","--","--",15146.1,"--","--",20591.4
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","9018.1","15392.5","N/A",15262.2,"10761.8","20931.5",20711.5
