"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","986.5","986.5","1085.2",989.6,"1019.2","1019.2",1017.3
"Procurement","1625.3","1625.3","1787.8",1633.4,"1894.8","1894.8",1892.2
"Flyaway","--","--","--",1424.9,"--","--",1652.5
"Recurring","--","--","--",1299.5,"--","--",1510.3
"Non Recurring","--","--","--",125.4,"--","--",142.2
"Support","--","--","--",208.5,"--","--",239.7
"Other Support","--","--","--",133.6,"--","--",154.1
"Initial Spares","--","--","--",74.9,"--","--",85.6
"MILCON","3.5","3.5","3.9",3.5,"3.9","3.9",3.9
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","2615.3","2615.3","N/A",2626.5,"2917.9","2917.9",2913.4
