"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","148.0","147.6","162.4",146.1,"154.3","160.2",158.3
"Procurement","7436.0","12665.9","13932.5",12401.1,"8054.2","14836.6",14271.4
"Flyaway","--","--","--",9965.7,"--","--",11469.1
"Recurring","--","--","--",9744.1,"--","--",11216.8
"Non Recurring","--","--","--",221.6,"--","--",252.3
"Support","--","--","--",2435.4,"--","--",2802.3
"Other Support","--","--","--",1078.4,"--","--",1234
"Initial Spares","--","--","--",1357,"--","--",1568.3
"MILCON","494.1","336.7","370.4",224.2,"536.8","377.9",241.8
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","8078.1","13150.2","N/A",12771.4,"8745.3","15374.7",14671.5
