"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1151.3","1151.3","1266.4",1166.8,"1246.1","1246.1",1246.1
"Procurement","663.5","663.5","729.9",665.5,"829.6","829.6",823.8
"Flyaway","--","--","--",665.5,"--","--",823.8
"Recurring","--","--","--",665.5,"--","--",823.8
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","1814.8","1814.8","N/A",1832.3,"2075.7","2075.7",2069.9
