"","file","mission","program_name","DoD_component"
"1","14-F-0402_DOC_33_GPS_OCX_December2013SAR.PDF","The Global Positioning System (GPS) is a space based positioning, navigation, and timing distribution system, which operates through weather and electromagnetic environments (jamming, spoofing, etc.). GPS supports both civil and military users in air, space, sea, and land operations. GPS is a satellite-based radio navigation system that serves military and civil users worldwide. GPS users process satellite signals to determine accurate position, velocity, and time. GPS must comply with 10 United States Code (USC) Section 2281 which requires that the Secretary of Defense ensures the continued sustainment and operation of GPS for military and civilian purposes and 51 USC Section 50112, which requires that GPS complies with certain standards and facilitates international cooperation.","Next Generation Operational Control System (GPS OCX)","Air Force"
"2","14-F-0402_DOC_40_JLENSDecember2013SAR.PDF","Joint Land Attack Cruise Missile Defense Elevated Netted Sensor System (JLENS) is a supporting program of the Army and Joint Integrated Air and Missile Defense, providing persistent, over the horizon surveillance and fire control quality data on Army and Joint networks enabling protection of the United States and coalition forces as well as geopolitical assets from Cruise Missiles, Aircraft, Unmanned Air Vehicles, Tactical Ballistic Missiles, Large Caliber Rockets, and Surface Moving Targets.","Joint Land Attack Cruise Missile Defense Elevated Netted Sensor System (JLENS)","Army"
"3","14-F-0402_DOC_53_MH-60SDecember2013SAR.PDF","The MH-60S Multi-Mission Helicopter Sea Combat (HSC) support helicopters fielded as three ""Blocks"" of aircraft with slightly different capabilities. Block 1 Combat Support provides Vertical Replenishment; internal transport of passengers, mail and cargo; Vertical On-Board Delivery; Airhead Operations; and day/night Search and Rescue. Secondary roles include torpedo and drone recovery, Noncombatant Evacuation Operations, Sea Air Land and Explosive Ordnance Disposal support.","MH-60S Fleet Combat Support Helicopter (MH-60S)","Navy"
"4","14-F-0402_DOC_59_NASDecember2013SAR.PDF","The DoD National Airspace System (NAS) is comprised of three systems: the Digital Airport Surveillance Radar (DASR), the DoD Advanced Automation System (DAAS), also known as the Standard Terminal Automation Replacement System (STARS) within the Federal Aviation Administration (FAA), and the Voice Communication Switching System (VCSS). The DoD NAS program is modernizing the DoD radar approach control facilities in parallel with the FAA. The DoD NAS program provides systems and facilities compatible/interoperable with the FAA modernization, prevents DoD flight delays and cancellations, continues DoD's access into Special Use Airspace, provides transparent services to military and civil aircraft, replaces aging DoD Air Traffic Control (ATC) systems, and increases flight safety. NAS is a Non-Developmental Item (NDI) acquisition. DoD will upgrade voice, data, and sensor systems as well as facility configurations and operations concepts to provide continued quantity and quality of ATC services to the aviation community. To supplement the DAAS, the DoD procured the Airfield Automation System (AFAS) to integrate weather, airport environmental data, and airfield equipment status at air traffic control positions. DoD military ATC and fighting/flying readiness will be maintained.","National Airspace System (NAS)","Air Force"
"5","14-F-0402_DOC_63_Patriot_MEADS_CAPDecember2013SAR.PDF","The Patriot/Medium Extended Air Defense System Combined Aggregate Program (Patriot/MEADS CAP) represents the process through which the Patriot system transitions to MEADS. The MEADS program is a Tri- National co-development program among the United States, Germany, and Italy to replace the U.S. Patriot air defense systems, Patriot and Hawk systems in Germany, and the Nike system in Italy. The MEADS mission will provide Joint and Coalition forces with critical asset and defended area protection against multiple and simultaneous attacks by low-to-medium altitude Air and Missile Defense (AMD) with the capability to counter, defeat, or destroy Tactical Ballistic Missiles, Air-Breathing Threats to include cruise missiles, unmanned aerial vehicles, tactical air-to-surface missiles, and anti-radiation missiles. The Patriot system provides a combat demonstrated capability against these threats. MEADS will employ a netted distributed architecture with modular components to increase survivability and flexibility of employment in a number of operational configurations. The Patriot Advanced Capability-3 (PAC-3) Missile Segment Enhancement (MSE) missile, as evolved from the current PAC-3 missile's Cost Reduction Initiative (CRI) design, provides a more agile, lethal interceptor missile resulting in substantial missile performance improvement while enhancing Insensitive Munitions (IM) compliance.","Patriot/Medium Extended Air Defense System Combined Aggregate Program (Patriot/MEADS CAP)","Army"
"6","14-F-0402_DOC_76_VTUAVDecember2013SAR.PDF","The MQ-8 Vertical Takeoff and Landing Tactical Unmanned Aerial Vehicle Fire Scout (VTUAV) program supports the Close Range Reconnaissance, Surveillance and Target Acquisition Capability Mission Need Statement, and the Capability Production Document for the VTUAV System, as ammended May 15, 2009. Additionally, the performance attributes of the MQ-8 support the Littoral Combat Ship, the Vertical Unmanned Air Vehicle (UAV), the Assured Maritime Access in the Littorals, the Joint Strike Enable and the Penetrating Intelligence, Surveillance, and Reconnaissance for Area Denial Threat Environments Initial Capabilities Documents.","MQ-8 Vertical Takeoff and Landing Tactical Unmanned Aerial Vehicle Fire Scout (VTUAV)","Navy"
"7","15-F-0540_CRH_SAR_Dec_2014.PDF","The Combat Rescue Helicopter (CRH) system will provide Personnel Recovery (PR) forces with a vertical takeoff and landing aircraft that is quickly deployable and capable of main base and austere location operations for worldwide PR missions. CRH system activities may be required during any phase of a service/joint/coalition operation, across the full range of military operations, in any land or sea location, within the areas covered by the relevant defense planning scenarios.","Combat Rescue Helicopter (CRH)","Air Force"
"8","15-F-0540_JSOW_SAR_Dec_2014.PDF","The Joint Standoff Weapon (JSOW) is an air-to-ground weapon designed to attack a variety of targets during day, night, and adverse weather conditions. JSOW enhances aircraft survivability by providing the capability for launch aircraft to standoff outside the range of most target area surface-to-air threat systems. The JSOW launch-and-leave capability allows several target kills per aircraft sortie. The common JSOW variant nomenclature is JSOW-A (Baseline), JSOW-A-1, JSOW-B (BLU -108), JSOW-C (Unitary), and JSOW-C-1 (Network Enabled Weapon Moving Maritime Target Capability).","Joint Standoff Weapon - Baseline Variant and Unitary Warhead Variant (JSOW)","Navy"
"9","15-F-0540_JTN_SAR_Dec_2014.PDF","Joint Tactical Networks (JTN) develops and sustains portable, interoperable, and mobile ad hoc networking software-defined waveforms for Joint operations, as well as the associated network manager for these waveforms. Networking software- defined waveforms include: the Soldier Radio Waveform (SRW), the Wideband Networking Waveform (WNW), the Mobile User Objective System (MUOS) waveform, and the Link-16 waveform. The Joint Enterprise Network Manager supports network management functions (planning, provisioning, monitoring, and controlling) of the SRW, WNW, and MUOS waveforms. These waveforms, as well as 14 other legacy waveforms, are coded as software-defined waveforms and capable of operating in a variety of hardware radio platforms for both Programs of Record and commercial, Non- Developmental Items. This model of common Government controlled waveforms and network manager capable of being instantiated upon multiple various hardware radios systems enables Joint interoperability for tactical networks across the military services and fosters a competitive marketplace for multiple vendors to provide competitively priced interoperable products. Project Manager JTN employs a competitive contracting strategy for software sustainment of the waveforms and the network manager to ensure warfighter access to the best technology and innovative capabilities while addressing emerging threats and future requirements via an affordable, operationally effective, and timely framework.","Joint Tactical Networks (JTN)","Army"
"10","15-F-0540_RQ-4AB_Global_Hawk_SAR_Dec_2014.PDF","The RQ-4A/B Global Hawk Unmanned Aircraft System (RQ-4A/B Global Hawk) is a high altitude, long endurance Unmanned Aircraft System (UAS) with an integrated sensor suite and ground segment that provides Intelligence, Surveillance, and Reconnaissance (ISR) capabilities to joint warfighters. The system provides high-resolution, high-quality, digital Synthetic Aperture Radar (SAR) to include Ground Moving Target Indicator, plus Electro-Optical (EO), and medium wave Infrared (IR) imagery of targets and other critical areas of interest. The program does not have an antecedent system.","RQ-4A/B Global Hawk Unmanned Aircraft System (RQ-4A/B Global Hawk)","Air Force"
