"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1567.7","1567.7","1724.5",1491.3,"1594.2","1594.2",1502.9
"Procurement","0.0","0.0","0.0",0,"0.0","0.0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","1567.7","1567.7","N/A",1491.3,"1594.2","1594.2",1502.9
