"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1799.2","1848.3","2033.1",1704.1,"1644.1","1696.2",1537.1
"Procurement","9404.2","10088.4","11097.2",9894.6,"10542.7","11022.1",10871.2
"Flyaway","--","--","--",8348,"--","--",9234.3
"Recurring","--","--","--",7853.2,"--","--",8716.4
"Non Recurring","--","--","--",494.8,"--","--",517.9
"Support","--","--","--",1546.6,"--","--",1636.9
"Other Support","--","--","--",1300.9,"--","--",1389.2
"Initial Spares","--","--","--",245.7,"--","--",247.7
"MILCON","0.0","16.3","17.9",16,"0.0","17.6",17.6
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","11203.4","11953.0","N/A",11614.7,"12186.8","12735.9",12425.9
