"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1116.4","4225.4","4647.9",4217.9,"906.2","3767",3767
"Procurement","4628.6","5534.7","6088.2",5524.5,"4459.8","5135.6",5135.6
"Flyaway","--","--","--",4089.9,"--","--",3750.7
"Recurring","--","--","--",3953.2,"--","--",3626
"Non Recurring","--","--","--",136.7,"--","--",124.7
"Support","--","--","--",1434.6,"--","--",1384.9
"Other Support","--","--","--",636.1,"--","--",637.4
"Initial Spares","--","--","--",798.5,"--","--",747.5
"MILCON","33.9","139","152.9",138.8,"28","122.9",122.9
"Acq O&M","0","0","0",0,"0","0",0
"Total","5778.9","9899.1","N/A",9881.2,"5394","9025.5",9025.5
