"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","3962.0","5535.9","6089.5",5786.6,"4366.4","6273.7",6598.3
"Procurement","11018.9","16118.3","17730.0",16077.6,"14399.9","22178.8",22563.4
"Flyaway","--","--","--",13819.4,"--","--",19441.6
"Recurring","--","--","--",13394,"--","--",18851.3
"Non Recurring","--","--","--",425.4,"--","--",590.3
"Support","--","--","--",2258.2,"--","--",3121.8
"Other Support","--","--","--",1751.9,"--","--",2423.9
"Initial Spares","--","--","--",506.3,"--","--",697.9
"MILCON","0.0","39.6","43.6",35.1,"0.0","48.1",44.4
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","14980.9","21693.8","N/A",21899.3,"18766.3","28500.6",29206.1
