"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1760.0","2251.5","2476.7",2249.9,"1948.0","2561.5",2553.8
"Procurement","4027.0","0.0","--",0,"5126.0","0.0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","63.0","33.8","37.2",34,"77.0","40.9",40.9
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","5850.0","2285.3","N/A",2283.9,"7151.0","2602.4",2594.7
