"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1007.6","1007.6","1108.4",892.9,"1090.7","1090.7",958.3
"Procurement","314.0","314.0","345.4",301.2,"361.1","361.1",355.1
"Flyaway","--","--","--",301.2,"--","--",355.1
"Recurring","--","--","--",301.2,"--","--",355.1
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","1321.6","1321.6","N/A",1194.1,"1451.8","1451.8",1313.4
