"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2606.1","2606.1","2866.7",2601.8,"2805.7","2805.7",2805.7
"Procurement","2043.6","2043.6","2248.0",2037.4,"2379.0","2379.0",2379
"Flyaway","--","--","--",1468.7,"--","--",1712.3
"Recurring","--","--","--",1468.7,"--","--",1712.3
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",568.7,"--","--",666.7
"Other Support","--","--","--",302.8,"--","--",357.1
"Initial Spares","--","--","--",265.9,"--","--",309.6
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4649.7","4649.7","N/A",4639.2,"5184.7","5184.7",5184.7
