"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","0.0","0.0","--",0,"0.0","0.0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Procurement","2307.0","2003.3","2203.6",2031.9,"2510.4","2562.6",2522.7
"Flyaway","--","--","--",1864,"--","--",2311.2
"Recurring","--","--","--",1824.7,"--","--",2261.2
"Non Recurring","--","--","--",39.3,"--","--",50
"Support","--","--","--",167.9,"--","--",211.5
"Other Support","--","--","--",111.8,"--","--",140.4
