"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1519.0","1718.9","1890.8",1853,"1375.7","1570.4",1720.8
"Procurement","9108.0","11360.2","12495.9",10384.4,"10049.0","12573.5",11487.1
"Flyaway","--","--","--",8625.5,"--","--",9570.2
"Recurring","--","--","--",7454.3,"--","--",8292.5
"Non Recurring","--","--","--",1171.2,"--","--",1277.7
"Support","--","--","--",1758.9,"--","--",1916.9
"Other Support","--","--","--",1474.6,"--","--",1617.4
"Initial Spares","--","--","--",284.3,"--","--",299.5
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","10627.0","13079.1","N/A",12237.4,"11424.7","14143.9",13207.9
