"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","397.5","423.5","465.9",399.7,"439.2","450.5",424.2
"Procurement","53.9","361.3","397.4",569.01,"57.9","412.3",707.7
"Flyaway","--","--","--",545.4,"--","--",679.5
"Recurring","--","--","--",360.6,"--","--",443.2
"Non Recurring","--","--","--",184.8,"--","--",236.3
"Support","--","--","--",23.6,"--","--",28.2
"Other Support","--","--","--",5.3,"--","--",5.6
"Initial Spares","--","--","--",18.3,"--","--",22.6
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","451.4","784.8","N/A",968.7,"497.1","862.8",1131.9
