"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","812.9","1743.2","1917.5",1789,"914.4","1961.8",2079.5
"Procurement","0","0","--",0,"0","0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0","0","--",0,"0","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","812.9","1743.2","N/A",1789,"914.4","1961.8",2079.5
