"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","8019.1","8303.1","9133.4",8219.6,"7951.7","8341.5",8222.7
"Procurement","23519.1","21912.5","24103.8",21508.5,"25654.7","24954.2",23833.9
"Flyaway","--","--","--",17570.6,"--","--",19487
"Recurring","--","--","--",16885.9,"--","--",18705.2
"Non Recurring","--","--","--",684.7,"--","--",781.8
"Support","--","--","--",3937.9,"--","--",4346.9
"Other Support","--","--","--",3474,"--","--",3847.9
"Initial Spares","--","--","--",463.9,"--","--",499
"MILCON","807.7","381.3","419.4",317.9,"894.3","428.7",347.5
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","32345.9","30596.9","N/A",30046,"34500.7","33724.4",32404.1
