"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","8615.5","8615.5","9477.1",8915.6,"9246.6","9246.6",9630.9
"Procurement","0.0","0.0","--",0,"0.0","0.0",0
"Flyaway","--","--","--",0,"--","--",0
"Recurring","--","--","--",0,"--","--",0
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","1365.3","1365.3","1501.8",1361.8,"1370.5","1370.5",1359.2
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","9980.8","9980.8","N/A",10277.4,"10617.1","10617.1",10990.1
