"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1540.6","2199.5","2419.5",2385,"1627.5","2402.6",2632.9
"Procurement","3316.0","3174.8","3492.3",3403.7,"4164.1","3939.2",4379.4
"Flyaway","--","--","--",3248,"--","--",4178.5
"Recurring","--","--","--",3243.9,"--","--",4173.9
"Non Recurring","--","--","--",4.1,"--","--",4.6
"Support","--","--","--",155.7,"--","--",200.9
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",155.7,"--","--",200.9
"MILCON","0.0","0.0","0.0",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","4856.6","5374.3","N/A",5788.7,"5791.6","6341.8",7012.3
