"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1199.4","1199.4","1319.3",1156.2,"1207.3","1207.3",1158.6
"Procurement","338.2","338.2","372.0",345.3,"376.8","376.8",384
"Flyaway","--","--","--",325.1,"--","--",361.8
"Recurring","--","--","--",325.1,"--","--",361.8
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",20.2,"--","--",22.2
"Other Support","--","--","--",6.7,"--","--",7.3
"Initial Spares","--","--","--",13.5,"--","--",14.9
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","1537.6","1537.6","N/A",1501.5,"1584.1","1584.1",1542.6
