"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","1755.3","1700.8","1870.9",2120.51,"1899.9","1832.3",2419.3
"Procurement","5754.6","8329.7","9162.7",11045.01,"6712.5","9693.8",13229.1
"Flyaway","--","--","--",9328.2,"--","--",11138
"Recurring","--","--","--",9239.8,"--","--",11036.9
"Non Recurring","--","--","--",88.4,"--","--",101.1
"Support","--","--","--",1716.8,"--","--",2091.1
"Other Support","--","--","--",1477.6,"--","--",1815.4
"Initial Spares","--","--","--",239.2,"--","--",275.7
"MILCON","20.9","21.4","23.5",21.4,"24.0","24.0",24
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","7530.8","10051.9","N/A",13186.9,"8636.4","11550.1",15672.4
