"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2989.3","3586.8","3945.5",3582.8,"3223.6","3885.8",3858
"Procurement","8871.2","7589.9","8348.9",7660.9,"11525.6","10315.0",10267.2
"Flyaway","--","--","--",5852.8,"--","--",7916.8
"Recurring","--","--","--",5440.2,"--","--",7386.6
"Non Recurring","--","--","--",412.6,"--","--",530.2
"Support","--","--","--",1808.1,"--","--",2350.4
"Other Support","--","--","--",1521.8,"--","--",2012.3
"Initial Spares","--","--","--",286.3,"--","--",338.1
"MILCON","364.0","292.7","322.0",267.9,"423.1","342.6",309.5
"Acq O&M","0.0","0.0","0.0",0,"0.0","0.0",0
"Total","12224.5","11469.4","N/A",11511.6,"15172.3","14543.4",14434.7
