"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","979.8","3031.8","3335.0",3493.61,"916.6","3954.6","4890.8"
"Procurement","15948.3","57095.5","62805.1",63309.71,"19173.1","84417.5","101911.2"
"Flyaway","--","--","--",63309.7,"--","--","101911.2"
"Recurring","--","--","--",61761.9,"--","--","99362.0"
"Non Recurring","--","--","--",1547.8,"--","--","2549.2"
"Support","--","--","--",0,"--","--","0.0"
"Other Support","--","--","--",0,"--","--","0.0"
"Initial Spares","--","--","--",0,"--","--","0.0"
"MILCON","25.6","34.8","38.3",37.6,"27.8","41.0","44.5"
"Acq O&M","0.0","0.0","--",0,"0.0","0.0","0.0"
"Total","16953.7","60162.1","N/A",66840.9,"20117.5","88413.1","106846.5"
