"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","5282.8","6489.3","--",6880.7,"5542.2","7117.8",7631
"Procurement","3233","5311.1","--",4614.2,"4031.7","6565.5",5709.7
"Flyaway","--","--","--",4614.2,"--","--",5709.7
"Recurring","--","--","--",4614.2,"--","--",5709.7
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0","0","--",0,"0","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","8515.8","11800.4","N/A",11494.9,"9573.9","13683.3",13340.7
