"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","649.6","649.6","714.2",618,"654.4","654.4",617.3
"Procurement","630.0","630.0","693.0",121.1,"795.0","795.0",127.3
"Flyaway","--","--","--",101.9,"--","--",107.2
"Recurring","--","--","--",101.9,"--","--",107.2
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",19.2,"--","--",20.1
"Other Support","--","--","--",19.2,"--","--",20.1
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","1279.6","1279.6","N/A",739.1,"1449.4","1449.4",744.6
