"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","836.8","887.8","--",915.7,"992.5","1052.9",1097.6
"Procurement","4685.5","2636.7","--",1784.8,"6852.4","3862.5",2502.1
"Flyaway","--","--","--",1750.6,"--","--",2454.9
"Recurring","--","--","--",1445.4,"--","--",2034.2
"Non Recurring","--","--","--",305.2,"--","--",420.7
"Support","--","--","--",34.2,"--","--",47.2
"Other Support","--","--","--",31.1,"--","--",42.5
"Initial Spares","--","--","--",3.1,"--","--",4.7
"MILCON","21.8","0","--",0,"28.6","0",0
"Acq O&M","0","0","--",0,"0","0",0
"Total","5544.1","3524.5","N/A",2700.5,"7873.5","4915.4",3599.7
