"appropriation","sar_by","apb_objective_by","apb_threshold_by","estimate_by","sar_ty","apb_ty","estimate_ty"
"RDT&E","2365.1","2365.1","2601.6",3886.41,"1962.1","1962.1",3642.6
"Procurement","59078.3","59078.3","64986.1",51690,"67367.3","67367.3",58795.4
"Flyaway","--","--","--",51690,"--","--",58795.4
"Recurring","--","--","--",51690,"--","--",58795.4
"Non Recurring","--","--","--",0,"--","--",0
"Support","--","--","--",0,"--","--",0
"Other Support","--","--","--",0,"--","--",0
"Initial Spares","--","--","--",0,"--","--",0
"MILCON","0.0","0.0","--",0,"0.0","0.0",0
"Acq O&M","0.0","0.0","--",0,"0.0","0.0",0
"Total","61443.4","61443.4","N/A",55576.4,"69329.4","69329.4",62438
